x,y,pdf
0.892647,0.889947,0.045393
0.806811,0.050234,0.691885
0.418145,0.232989,0.322934
0.187607,0.371667,0.046133
0.927961,0.633160,0.279525
0.879590,0.414237,0.451704
0.303856,0.870587,0.229629
0.461297,0.441005,0.215122
0.424982,0.908324,0.264745
0.707667,0.906902,0.060284
0.967510,0.006179,0.818585
0.413584,0.633591,0.009344
0.771629,0.710527,0.152386
0.105123,0.024373,0.104073
0.229063,0.610714,0.124711
0.216612,0.834757,0.179380
0.394212,0.002693,0.383670
0.561638,0.264317,0.407109
0.772057,0.850513,0.025230
0.176131,0.385462,0.025745
0.985946,0.686282,0.250258
0.861631,0.174753,0.635502
0.778387,0.339228,0.472783
0.006888,0.662372,0.006856
0.047971,0.634496,0.046524
0.515898,0.965388,0.245665
0.875563,0.452287,0.418449
0.920515,0.220435,0.624965
0.742863,0.787980,0.067750
0.005757,0.681432,0.005734
0.396483,0.703851,0.074703
0.525926,0.497962,0.211148
0.060653,0.313025,0.036626
0.839686,0.939940,0.019884
0.951689,0.186270,0.664870
0.542200,0.084203,0.487296
0.297339,0.822276,0.229409
0.422465,0.228629,0.328572
0.314141,0.072030,0.297304
0.323975,0.549427,0.018499
0.845907,0.657926,0.230104
0.736815,0.767213,0.083907
0.616477,0.178211,0.494656
0.199341,0.837500,0.167591
0.299841,0.237427,0.224569
0.837540,0.931228,0.013584
0.860782,0.593438,0.292231
0.620226,0.220959,0.471636
0.869142,0.461692,0.408334
0.158167,0.238360,0.097456
0.740853,0.367334,0.433773
0.125291,0.818597,0.112811
0.108844,0.185794,0.072779
0.630086,0.897275,0.098940
0.776962,0.262475,0.530381
0.115318,0.675536,0.106468
0.960025,0.752172,0.186483
0.614194,0.918947,0.129813
0.763126,0.568840,0.275699
0.441100,0.405806,0.228199
0.103329,0.586336,0.097108
0.645029,0.790483,0.012112
0.526868,0.980767,0.251418
0.803833,0.397425,0.437253
0.624979,0.855065,0.062103
0.987418,0.711455,0.229178
0.001488,0.536406,0.001486
0.968009,0.579977,0.336840
0.995289,0.187115,0.680151
0.005613,0.392727,0.005600
0.610821,0.619668,0.154018
0.786800,0.754686,0.119034
0.359685,0.456420,0.127972
0.344932,0.417780,0.146835
0.966512,0.024686,0.803299
0.039957,0.486999,0.039181
0.142220,0.627796,0.129669
0.925903,0.166546,0.670494
0.877774,0.082758,0.711527
0.084193,0.561663,0.080229
0.961585,0.665141,0.261682
0.750900,0.301731,0.488696
0.673657,0.851810,0.029241
0.316079,0.000301,0.310813
0.859629,0.502143,0.370722
0.523287,0.817646,0.094366
0.837813,0.368342,0.474297
0.447431,0.641492,0.026947
0.842374,0.075480,0.696876
0.079055,0.651532,0.075027
0.955761,0.961886,0.012264
0.593203,0.283350,0.414834
0.733529,0.420523,0.388081
0.630969,0.857392,0.060534
0.974656,0.631954,0.293855
0.171877,0.388598,0.019524
0.340508,0.829542,0.251751
0.825201,0.342318,0.490226
0.775549,0.487497,0.351021
0.618354,0.352152,0.381597
0.932942,0.072405,0.748178
0.610477,0.165318,0.497920
0.058156,0.248853,0.003718
0.909343,0.331194,0.530559
0.033700,0.679785,0.032935
0.919712,0.398643,0.477833
0.538124,0.812204,0.078326
0.901253,0.637753,0.267149
0.522398,0.288859,0.365521
0.164157,0.551619,0.127611
0.456797,0.876525,0.205364
0.480582,0.693783,0.000539
0.051421,0.051516,0.048619
0.540033,0.556971,0.168603
0.403477,0.633043,0.002117
0.526813,0.548738,0.167584
0.774434,0.105056,0.637535
0.147676,0.319655,0.043395
0.450196,0.517183,0.143950
0.687796,0.959656,0.119372
0.387400,0.105395,0.352854
0.923178,0.828182,0.109387
0.598977,0.023027,0.555701
0.967646,0.033730,0.796641
0.482095,0.822769,0.130224
0.382523,0.828450,0.217877
0.541603,0.580265,0.148576
0.127129,0.433394,0.057426
0.212123,0.799934,0.177693
0.178232,0.060069,0.171902
0.731880,0.493646,0.326785
0.896557,0.143893,0.675259
0.271433,0.072873,0.257878
0.468504,0.055192,0.437450
0.770402,0.944937,0.058975
0.001174,0.803367,0.001173
0.185334,0.953995,0.154421
0.098851,0.499840,0.093956
0.101821,0.057368,0.097802
0.999048,0.595427,0.331438
0.914010,0.877843,0.064065
0.596247,0.157734,0.492373
0.024608,0.022591,0.024082
0.931465,0.704233,0.218873
0.768535,0.309293,0.491341
0.975761,0.356618,0.529781
0.013321,0.290134,0.013269
0.785815,0.332073,0.481641
0.639393,0.714259,0.081631
0.359701,0.037091,0.346094
0.353370,0.819347,0.234007
0.770985,0.279441,0.514945
0.537487,0.592895,0.134421
0.409257,0.363936,0.235502
0.088282,0.393864,0.064527
0.405249,0.087613,0.373755
0.447659,0.575299,0.089981
0.568635,0.899944,0.143252
0.279468,0.998549,0.208647
0.416660,0.743727,0.099782
0.494707,0.579717,0.118568
0.121706,0.342246,0.004388
0.578489,0.258954,0.421396
0.455938,0.948363,0.278461
0.421893,0.033244,0.402833
0.061138,0.821138,0.058122
0.111818,0.943270,0.100440
0.621863,0.945618,0.149400
0.381970,0.155028,0.330287
0.770044,0.761411,0.105243
0.678110,0.526778,0.272820
0.799164,0.915683,0.018896
0.040686,0.301976,0.040181
0.516118,0.306180,0.350047
0.257966,0.818807,0.206533
0.808910,0.929928,0.026298
0.992809,0.376951,0.517038
0.758279,0.303210,0.491120
0.836197,0.652184,0.231535
0.371404,0.468470,0.127194
0.490638,0.299479,0.337010
0.265807,0.853744,0.209343
0.536592,0.635187,0.094389
0.881566,0.500261,0.379757
0.485017,0.538955,0.148833
0.049987,0.423834,0.048926
0.069182,0.965999,0.064676
0.996832,0.125660,0.733384
0.978856,0.710340,0.227747
0.108252,0.518165,0.102174
0.490008,0.309660,0.329979
0.037538,0.781512,0.036451
0.693142,0.232367,0.507829
0.980817,0.916389,0.057513
0.273383,0.737523,0.218464
0.199816,0.008727,0.198072
0.045456,0.048245,0.043021
0.119825,0.471945,0.097103
0.696661,0.729205,0.098799
0.580980,0.782361,0.019745
0.440990,0.408861,0.225813
0.070986,0.473395,0.068596
0.537499,0.237037,0.407646
0.017419,0.404187,0.017297
0.876061,0.718483,0.187622
0.467717,0.568248,0.110612
0.083628,0.813026,0.078061
0.734990,0.957781,0.089654
0.854127,0.442963,0.418830
0.837783,0.249287,0.568190
0.455112,0.798297,0.125963
0.811901,0.326093,0.497567
0.614302,0.080443,0.543690
0.222437,0.903402,0.180446
0.239120,0.575054,0.079706
0.454112,0.771531,0.099090
0.672374,0.194554,0.520207
0.608065,0.422914,0.321751
0.437187,0.881033,0.226253
0.083216,0.078536,0.076474
0.674317,0.510119,0.285222
0.170318,0.379402,0.024726
0.724982,0.186448,0.556307
0.236836,0.258661,0.159108
0.562312,0.071362,0.508144
0.330762,0.760036,0.190048
0.024572,0.133454,0.006739
0.281512,0.818149,0.220643
0.053254,0.462603,0.051942
0.626011,0.266402,0.446073
0.389189,0.038092,0.372572
0.938096,0.588010,0.321639
0.429778,0.091469,0.393370
0.389373,0.175831,0.327705
0.200496,0.454747,0.005751
0.619636,0.116602,0.530061
0.643767,0.534590,0.248334
0.244987,0.765225,0.201089
0.678352,0.803097,0.019362
0.581773,0.624706,0.132335
0.732370,0.945809,0.080739
0.414467,0.297389,0.283201
0.703075,0.057572,0.618628
0.885627,0.523105,0.361529
0.546518,0.526877,0.199187
0.836039,0.569856,0.303909
0.950212,0.499300,0.401344
0.173191,0.492664,0.063806
0.791939,0.060666,0.676032
0.096185,0.026215,0.095114
0.337803,0.530568,0.047041
0.255221,0.126906,0.229341
0.382676,0.506862,0.103321
0.173779,0.429942,0.010276
0.786146,0.551766,0.300260
0.511622,0.137091,0.441195
0.107099,0.660177,0.099624
0.996735,0.100727,0.754664
0.290061,0.900849,0.220216
0.104347,0.119793,0.088767
0.606421,0.871045,0.089471
0.811140,0.713298,0.166964
0.303660,0.855285,0.230595
0.002781,0.886981,0.002775
0.665717,0.828829,0.012234
0.362900,0.658757,0.055899
0.437609,0.696508,0.035012
0.821634,0.358593,0.475779
0.817437,0.407526,0.434450
0.891875,0.968401,0.019401
0.468896,0.836874,0.154942
0.471330,0.017618,0.450072
0.257421,0.573963,0.062076
0.938528,0.800054,0.138699
0.663093,0.009112,0.611815
0.620901,0.927671,0.133456
0.073418,0.358508,0.053660
0.963057,0.486892,0.415436
0.409126,0.518277,0.113290
0.973375,0.313075,0.566015
0.786097,0.888269,0.001454
0.777042,0.148776,0.610554
0.166540,0.556205,0.129781
0.353666,0.701433,0.107594
0.202565,0.482796,0.027685
0.787581,0.866076,0.018942
0.725259,0.578464,0.250316
0.608968,0.628713,0.144603
0.582386,0.812289,0.048203
0.053933,0.416000,0.052718
0.777859,0.743809,0.124889
0.321641,0.906823,0.236117
0.116088,0.118296,0.100537
0.156659,0.571423,0.142698
0.804332,0.416133,0.422186
0.334606,0.453685,0.110348
0.716189,0.496919,0.316781
0.879261,0.962214,0.020015
0.269346,0.728922,0.212829
0.089233,0.685823,0.083847
0.120704,0.244515,0.059118
0.702326,0.499065,0.308397
0.132017,0.212207,0.084491
0.775732,0.473430,0.362949
0.309164,0.265903,0.217626
0.110161,0.359821,0.018563
0.668174,0.482017,0.305883
0.296044,0.657955,0.112288
0.231136,0.545062,0.058119
0.709937,0.538302,0.278345
0.605120,0.992335,0.203268
0.039233,0.132177,0.021649
0.847229,0.678339,0.212496
0.163332,0.955637,0.139125
0.568903,0.849546,0.093901
0.469374,0.482782,0.186623
0.482618,0.470148,0.206096
0.930667,0.134093,0.698475
0.844078,0.689395,0.201477
0.525943,0.195444,0.422964
0.493056,0.591176,0.106884
0.827549,0.433395,0.417018
0.445975,0.616436,0.050078
0.836714,0.422402,0.429590
0.243390,0.299084,0.142605
0.394011,0.849564,0.230310
0.505462,0.205989,0.402596
0.743141,0.312539,0.476851
0.398577,0.221714,0.313483
0.076154,0.376239,0.063521
0.966213,0.568591,0.346164
0.138254,0.903956,0.121648
0.527200,0.202785,0.419899
0.220285,0.928507,0.178087
0.594474,0.476948,0.270192
0.117049,0.579057,0.109158
0.017482,0.210105,0.017417
0.879560,0.829229,0.091940
0.301326,0.555391,0.006035
0.439377,0.082121,0.404491
0.305804,0.306266,0.191659
0.433124,0.857873,0.205653
0.777451,0.531827,0.313946
0.805337,0.099385,0.659434
0.417718,0.681853,0.035487
0.017751,0.861837,0.017482
0.440402,0.552193,0.105902
0.943163,0.401616,0.482416
0.821466,0.751143,0.137261
0.771985,0.930281,0.045474
0.694362,0.557410,0.254175
0.509619,0.549196,0.156072
0.593991,0.310312,0.397058
0.892780,0.130451,0.683752
0.502415,0.722832,0.013956
0.802886,0.159696,0.617134
0.899458,0.758135,0.161246
0.504643,0.806512,0.096721
0.271308,0.960205,0.206506
0.287955,0.737954,0.205218
0.780264,0.379191,0.442081
0.341272,0.440873,0.125946
0.048720,0.482116,0.047577
0.934516,0.068657,0.751898
0.260558,0.689562,0.178221
0.239697,0.078014,0.227234
0.033025,0.428949,0.032557
0.367350,0.171413,0.311421
0.762256,0.845045,0.025271
0.446922,0.310817,0.298735
0.395556,0.558334,0.067127
0.829219,0.818334,0.080572
0.833555,0.111846,0.666890
0.739063,0.829395,0.027705
0.415378,0.997104,0.266699
0.956255,0.614112,0.304227
0.189948,0.399787,0.027919
0.352993,0.532414,0.057570
0.926544,0.055748,0.757717
0.365854,0.638600,0.033201
0.067743,0.858009,0.063885
0.730478,0.200929,0.549796
0.077868,0.105360,0.066177
0.057065,0.651884,0.054962
0.890075,0.533176,0.354317
0.074821,0.734707,0.070771
0.405188,0.517097,0.111394
0.623478,0.861867,0.069573
0.245425,0.090176,0.229962
0.720000,0.951056,0.092466
0.216129,0.664131,0.185806
0.278620,0.254347,0.197831
0.178632,0.595326,0.157274
0.312312,0.946153,0.228620
0.287374,0.986100,0.213465
0.693841,0.485589,0.315676
0.794412,0.362074,0.461758
0.804508,0.018876,0.709467
0.874426,0.116061,0.685444
0.648708,0.337411,0.409500
0.173371,0.859201,0.148651
0.262441,0.157125,0.226057
0.033873,0.069947,0.028908
0.493891,0.734756,0.031969
0.600522,0.681529,0.090072
0.484199,0.086657,0.440089
0.258157,0.498518,0.008475
0.426559,0.325773,0.274159
0.106301,0.583118,0.099750
0.431754,0.882408,0.232258
0.422837,0.001810,0.410035
0.578268,0.624397,0.130514
0.320081,0.572972,0.006839
0.475093,0.142328,0.410705
0.046355,0.506097,0.045270
0.915351,0.715421,0.203940
0.636190,0.073243,0.563098
0.448867,0.723702,0.054051
0.862301,0.703334,0.195961
0.951810,0.522081,0.382261
0.692425,0.139933,0.565809
0.521528,0.041983,0.485993
0.704182,0.553120,0.262687
0.274706,0.636130,0.108820
0.161065,0.746097,0.142242
0.876968,0.932120,0.003587
0.702683,0.847142,0.008253
0.882049,0.710417,0.196882
0.852393,0.127545,0.665770
0.208663,0.072383,0.199018
0.795436,0.836136,0.049434
0.333191,0.413966,0.140384
0.130708,0.191049,0.091763
0.026312,0.970692,0.025650
0.549284,0.919333,0.176011
0.711713,0.949552,0.096014
0.642837,0.985042,0.170731
0.774979,0.513447,0.328709
0.295048,0.396419,0.122317
0.400819,0.133782,0.354217
0.359160,0.232822,0.276239
0.766729,0.076858,0.650234
0.574789,0.281983,0.404202
0.671224,0.039672,0.604508
0.927114,0.928259,0.027719
0.924774,0.200765,0.642523
0.901578,0.182472,0.647509
0.081548,0.201722,0.040183
0.337220,0.993991,0.236608
0.340114,0.824974,0.251944
0.831762,0.235645,0.575905
0.691202,0.383501,0.397083
0.901589,0.002133,0.782816
0.640670,0.088085,0.559188
0.349724,0.112523,0.318027
0.085782,0.907719,0.079280
0.544945,0.957479,0.215650
0.172936,0.688812,0.152785
0.565155,0.081846,0.506050
0.214959,0.548805,0.076554
0.408136,0.143203,0.356630
0.996107,0.809822,0.148994
0.722813,0.137025,0.586415
0.042870,0.987992,0.041088
0.764150,0.029065,0.676232
0.688732,0.604055,0.209923
0.524798,0.185593,0.427343
0.011005,0.830887,0.010905
0.246634,0.242110,0.176124
0.967846,0.243556,0.622941
0.765307,0.301161,0.495986
0.313605,0.187553,0.259215
0.390907,0.599877,0.024557
0.120613,0.530802,0.112890
0.277907,0.037868,0.270129
0.985544,0.815089,0.141386
0.487474,0.206095,0.389412
0.248468,0.072529,0.236547
0.195298,0.807338,0.165772
0.802727,0.822702,0.064849
0.748046,0.608894,0.233648
0.323756,0.016064,0.316249
0.521580,0.318130,0.345738
0.994975,0.939292,0.044585
0.784052,0.021502,0.694112
0.058874,0.348148,0.057654
0.017014,0.077691,0.010964
0.771420,0.343526,0.466325
0.397655,0.605450,0.024428
0.587910,0.756269,0.010237
0.395296,0.956813,0.263799
0.658393,0.056417,0.587236
0.685272,0.816275,0.010841
0.960786,0.052484,0.778030
0.833315,0.816580,0.083896
0.649815,0.896403,0.085522
0.453581,0.811726,0.141073
0.449896,0.159756,0.383302
0.793421,0.197829,0.585368
0.170089,0.996924,0.142881
0.948046,0.922462,0.040560
0.669247,0.660772,0.148157
0.158192,0.073094,0.150518
0.849487,0.886500,0.029917
0.893926,0.185258,0.642024
0.506102,0.909280,0.198980
0.677699,0.661067,0.152312
0.112047,0.131311,0.093289
0.849794,0.938709,0.014129
0.865119,0.703911,0.196491
0.729271,0.303546,0.476735
0.575957,0.540273,0.205286
0.873552,0.481432,0.393119
0.224989,0.524510,0.044533
0.389761,0.404891,0.191244
0.266449,0.932616,0.205352
0.500945,0.792767,0.085502
0.007584,0.330964,0.007565
0.820310,0.433976,0.413764
0.641190,0.467966,0.303504
0.036579,0.315985,0.036153
0.759588,0.924528,0.047057
0.963616,0.988643,0.005387
0.428170,0.538916,0.109003
0.157434,0.803987,0.138172
0.146645,0.871658,0.128613
0.553699,0.922653,0.175952
0.276097,0.226113,0.209634
0.828883,0.227508,0.580733
0.759998,0.990332,0.103109
0.438162,0.535141,0.119590
0.217283,0.315827,0.109518
0.533204,0.745822,0.015483
0.735627,0.398884,0.406433
0.212962,0.822570,0.177405
0.943036,0.880037,0.073222
0.810599,0.739942,0.142754
0.185891,0.127331,0.164941
0.169674,0.793180,0.147625
0.891554,0.419004,0.451736
0.112707,0.908326,0.101550
0.443672,0.291199,0.308715
0.555255,0.843946,0.097866
0.148309,0.566350,0.135898
0.968621,0.425079,0.469652
0.119009,0.827851,0.107616
0.144313,0.200030,0.101168
0.158944,0.356639,0.030005
0.463402,0.160655,0.393467
0.968245,0.795320,0.152465
0.123868,0.416730,0.047283
0.254661,0.055453,0.245476
0.029098,0.965062,0.028293
0.575663,0.233631,0.435252
0.290623,0.943939,0.217773
0.990111,0.551968,0.366549
0.548255,0.013566,0.517212
0.847629,0.588632,0.291751
0.560723,0.753095,0.004214
0.293787,0.314036,0.176887
0.769939,0.214889,0.561283
0.319234,0.698323,0.134121
0.792028,0.026632,0.696537
0.430909,0.905761,0.257010
0.038242,0.681918,0.037255
0.273431,0.341682,0.142163
0.918874,0.909940,0.039373
0.778823,0.067578,0.663509
0.333310,0.264906,0.238192
0.672676,0.349994,0.413131
0.399339,0.325810,0.253796
0.414884,0.358830,0.243233
0.624845,0.147173,0.517569
0.903073,0.280681,0.569647
0.975009,0.851392,0.108013
0.516853,0.362847,0.311497
0.538134,0.503312,0.214283
0.331011,0.653626,0.077375
0.743245,0.657649,0.187577
0.575781,0.454525,0.277733
0.332555,0.219891,0.260693
0.672303,0.750006,0.066190
0.541948,0.511305,0.209820
0.421405,0.130401,0.372527
0.192595,0.678657,0.167987
0.173831,0.973614,0.146040
0.646823,0.839303,0.033460
0.060037,0.901235,0.056855
0.831369,0.602238,0.273833
0.607684,0.774695,0.004704
0.781145,0.855757,0.025004
0.324953,0.747086,0.181252
0.406631,0.962344,0.267430
0.077800,0.136267,0.058576
0.438028,0.751404,0.090826
0.339287,0.134889,0.301558
0.749293,0.950477,0.075266
0.639104,0.622953,0.166822
0.515186,0.945556,0.227289
0.791416,0.598537,0.261415
0.904440,0.011126,0.778193
0.729151,0.992308,0.122528
0.262201,0.400557,0.091474
0.022859,0.881454,0.022404
0.984842,0.937476,0.042346
0.412268,0.368648,0.234422
0.540289,0.998734,0.257378
0.928659,0.641679,0.272338
0.336976,0.029608,0.326559
0.436189,0.979375,0.275621
0.394565,0.981848,0.260935
0.670279,0.719437,0.093920
0.019537,0.315203,0.019417
0.101203,0.453810,0.096518
0.938807,0.453051,0.437588
0.200991,0.967224,0.164372
0.594454,0.832747,0.060265
0.941787,0.684519,0.239147
0.552724,0.941335,0.194529
0.603767,0.642383,0.128880
0.230407,0.977229,0.182320
0.220755,0.251137,0.148602
0.391723,0.028492,0.376835
0.241667,0.362177,0.101056
0.118843,0.908350,0.106457
0.235890,0.406705,0.063997
0.209169,0.038557,0.204549
0.720736,0.621376,0.209880
0.202490,0.021224,0.199814
0.439092,0.626488,0.035379
0.491155,0.789770,0.089688
0.665388,0.872328,0.053407
0.216373,0.479579,0.012283
0.368013,0.719312,0.114211
0.903769,0.409025,0.464077
0.306299,0.167541,0.260981
0.041330,0.811462,0.039964
0.390201,0.501387,0.113781
0.052854,0.208824,0.009146
0.880799,0.364758,0.493082
0.370029,0.567444,0.038923
0.259740,0.032636,0.253658
0.556279,0.626730,0.114841
0.845760,0.894540,0.021362
0.685481,0.041318,0.614195
0.486390,0.415523,0.252135
0.428702,0.227320,0.334061
0.902990,0.090337,0.719192
0.552057,0.053307,0.506975
0.517227,0.156382,0.436433
0.778836,0.766638,0.104547
0.837121,0.081074,0.690047
0.219003,0.795767,0.182523
0.730787,0.089247,0.619908
0.819215,0.319150,0.506091
0.165999,0.246224,0.100989
0.536458,0.741385,0.008863
0.243701,0.862174,0.195563
0.188459,0.467193,0.027301
0.603578,0.233385,0.453425
0.183965,0.613887,0.163433
0.529840,0.986076,0.253993
0.586041,0.552933,0.200054
0.335307,0.538366,0.037948
0.211492,0.421241,0.031147
0.851955,0.446046,0.415473
0.719550,0.992813,0.128670
0.106023,0.647753,0.098828
0.892943,0.551358,0.339567
0.505818,0.875189,0.165226
0.564462,0.654513,0.093747
0.120341,0.744000,0.109799
0.892176,0.930295,0.011662
0.876859,0.290948,0.551540
0.936396,0.296396,0.568399
0.755543,0.972997,0.091052
0.741520,0.242961,0.526772
0.309310,0.393932,0.135936
0.375892,0.069464,0.353325
0.086973,0.274153,0.011536
0.632787,0.216315,0.482368
0.787847,0.429245,0.404697
0.345664,0.081813,0.323304
0.225921,0.772974,0.188124
0.520790,0.965077,0.241505
0.431725,0.610313,0.045488
0.740377,0.025583,0.661525
0.470020,0.736139,0.050808
0.539358,0.399923,0.298507
0.801426,0.105214,0.653322
0.708905,0.866414,0.022591
0.266133,0.089082,0.249396
0.729851,0.698192,0.144212
0.017793,0.585504,0.017609
0.789099,0.595396,0.263238
0.985745,0.496063,0.413417
0.082179,0.837090,0.076650
0.693675,0.337547,0.433413
0.355053,0.043525,0.340598
0.512853,0.002756,0.489971
0.888312,0.189390,0.636364
0.678064,0.936342,0.104587
0.376869,0.758654,0.148278
0.644357,0.241318,0.473538
0.408300,0.181639,0.340451
0.612740,0.481851,0.276442
0.492924,0.944948,0.244448
0.302949,0.197973,0.245599
0.848787,0.014859,0.741000
0.301408,0.397828,0.126561
0.394633,0.464835,0.147853
0.562508,0.543086,0.194763
0.654027,0.447748,0.326884
0.891340,0.793145,0.127790
0.523718,0.903462,0.179689
0.485986,0.523746,0.162867
0.109400,0.642387,0.101800
0.867515,0.385625,0.471207
0.081970,0.695644,0.077360
0.775799,0.418838,0.408169
0.257425,0.072442,0.244936
0.859262,0.988364,0.050265
0.353517,0.315322,0.224903
0.236721,0.556628,0.064043
0.126281,0.493865,0.110285
0.259397,0.558564,0.045487
0.339589,0.527512,0.051233
0.051271,0.894835,0.048962
0.270817,0.978100,0.205241
0.655866,0.808856,0.000952
0.705785,0.702761,0.128104
0.867608,0.163213,0.646992
0.626070,0.007785,0.583091
0.075885,0.381136,0.067360
0.041835,0.194097,0.004128
0.699916,0.568627,0.247000
0.673282,0.634953,0.174029
0.042580,0.582884,0.041530
0.433871,0.776487,0.120119
0.641299,0.062631,0.571791
0.918414,0.701739,0.216862
0.444129,0.685998,0.019509
0.349185,0.148784,0.305065
0.389168,0.171551,0.329386
0.683159,0.123581,0.569345
0.215403,0.788122,0.180384
0.833505,0.498185,0.364738
0.583136,0.389054,0.333519
0.208465,0.234923,0.145416
0.832103,0.236472,0.575432
0.020749,0.127183,0.004561
0.955406,0.131235,0.711596
0.070544,0.197419,0.031131
